Ethan Dobbelaere,18,Seattle Sounders FC,Midfielder,"Seattle, WA",2
Griffin Dorsey,21,Toronto FC,Midfielder,"Evergreen, CO",5
Jonathan dos Santos,30,LA Galaxy,Midfielder,"Evergreen, CO",14
Hassani Dotson,23,Minnesota United FC,Midfielder,"Federal Way, WA",7
Erik Dueñas,16,Los Angeles Football Club,Defender,"Federal Way, WA",0
Cameron Duke,19,Sporting Kansas City,Midfielder,"Overland Park, KS",3
Bryce Duke,19,Los Angeles Football Club,Midfielder,"Overland Park, KS",3
Cameron Dunbar,18,LA Galaxy,Midfielder,"Carson, CA",2
Kyle Duncan,23,New York Red Bulls,Defender,"Brooklyn, NY",7
Julian Dunn,20,Toronto FC,Defender,"Brooklyn, NY",4
Chris Duvall,29,Portland Timbers,Defender,"Duluth, GA",13
Dom Dwyer,30,Orlando City SC,Forward,"London, England, International",14
Jeremy Ebobisse,23,Portland Timbers,Forward,"London, England, International",7
Raheem Edwards,25,Minnesota United FC,Midfielder,"Mississauga, ON",9
Earl Edwards Jr.,28,D.C. United,Goalkeeper,"San Diego, CA",12
Mandela Egbo,23,New York Red Bulls,Defender,"Brent, England, International",7
Phillip Ejimadu,21,Los Angeles Football Club,Goalkeeper,"Brent, England, International",5
Mohamed El-Munir,28,Los Angeles Football Club,Defender,"Brent, England, International",12
Jack Elliott,25,Philadelphia Union,Defender,"London, England, International",9
Fred Emmings,16,Minnesota United FC,Goalkeeper,"Saint Paul, MN",0
Tsubasa Endoh,27,Toronto FC,Midfielder,"Saint Paul, MN",11
Franco Escobar,25,Atlanta United FC,Defender,"Rosario, Argentina, International",9
Roger Espinoza,34,Sporting Kansas City,Midfielder,"Aurora, CO",18
Cristian Espinoza,25,San Jose Earthquakes,Midfielder,"Buenos Aires, Argentina, International",9
Derrick Etienne Jr.,24,Columbus Crew SC,Midfielder,"Paterson, NJ",8
Gianfranco Facchineri,18,Vancouver Whitecaps FC,Defender,"Windsor, ON",2
Diego Fagundez,25,New England Revolution,Midfielder,"Windsor, ON",9
Rod Fanni,38,Montreal Impact,Defender,"Windsor, ON",22
Marco Farfan,22,Portland Timbers,Defender,"Windsor, ON",6
Andrew Farrell,28,New England Revolution,Defender,"Louisville, KY",12
Luis Felipe,24,San Jose Earthquakes,Midfielder,"Mineola, NY",8
Rolf Feltscher,30,LA Galaxy,Defender,"Bülach, Switzerland, International",14
Keesean Ferdinand,17,Montreal Impact,Defender,"Rivière-des-Prairies, QC",1
